filename,path,word
YARN - Fuck - Payback - Video clips by quotes - c9a5d45f - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Payback - Video clips by quotes - c9a5d45f - 紗.wav,Fuck
2a0b413e_nohash_0,Dataset\mono_audio\Other\2a0b413e_nohash_0.wav,Other
YARN - Shit - Runaways (2017) - S01E03 Destiny - Video clips by quotes - 884b8cc9 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Runaways (2017) - S01E03 Destiny - Video clips by quotes - 884b8cc9 - 紗.wav,Shit
3c257192_nohash_0,Dataset\mono_audio\Other\3c257192_nohash_0.wav,Other
5e3dde6b_nohash_0,Dataset\mono_audio\Other\5e3dde6b_nohash_0.wav,Other
YARN - Shit - Warrior Nun (2020) - S01E07 Ephesians 4-22-24 - Video clips by quotes - 74111dbf - 紗,Dataset\mono_audio\Shit\YARN - Shit - Warrior Nun (2020) - S01E07 Ephesians 4-22-24 - Video clips by quotes - 74111dbf - 紗.wav,Shit
YARN - Fuck - The Offer (2022) - S01E06 A Stand Up Guy - Video clips by quotes - 433c742d - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - The Offer (2022) - S01E06 A Stand Up Guy - Video clips by quotes - 433c742d - 紗.wav,Fuck
YARN - Shit! - Squid Game (2021) - S01E05 A Fair World - Video clips by quotes - b09a0d42 - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Squid Game (2021) - S01E05 A Fair World - Video clips by quotes - b09a0d42 - 紗.wav,Shit
1cb788bc_nohash_0,Dataset\mono_audio\Other\1cb788bc_nohash_0.wav,Other
YARN - Shit - Dune (2021) - Video clips by quotes - 8072aa52 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Dune (2021) - Video clips by quotes - 8072aa52 - 紗.wav,Shit
YARN - Shit! - Payback - Video clips by quotes - 045b4d3b - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Payback - Video clips by quotes - 045b4d3b - 紗.wav,Shit
YARN - Fuck - Jack Ryan (2017) - S02E06 Persona Non Grata - Video clips by quotes - 0c9be7f6 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Jack Ryan (2017) - S02E06 Persona Non Grata - Video clips by quotes - 0c9be7f6 - 紗.wav,Fuck
0ab3b47d_nohash_1,Dataset\mono_audio\Other\0ab3b47d_nohash_1.wav,Other
YARN - Shit - Ozark (2017) - S03E04 Boss Fight - Video clips by quotes - 73445e8a - 紗,Dataset\mono_audio\Shit\YARN - Shit - Ozark (2017) - S03E04 Boss Fight - Video clips by quotes - 73445e8a - 紗.wav,Shit
YARN - Fuck! - Warrior Nun (2020) - S02E04 Corinthians 10-20-21 - Video clips by quotes - 6b418865 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Warrior Nun (2020) - S02E04 Corinthians 10-20-21 - Video clips by quotes - 6b418865 - 紗.wav,Fuck
0d2bcf9d_nohash_0,Dataset\mono_audio\Other\0d2bcf9d_nohash_0.wav,Other
YARN - Fuck - Ozark (2017) - S04E12 Trouble the Water - Video clips by quotes - a81a55d0 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Ozark (2017) - S04E12 Trouble the Water - Video clips by quotes - a81a55d0 - 紗.wav,Fuck
YARN - Fuck - Ozark (2017) - S03E02 Civil Union - Video clips by quotes - fb30fbb3 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Ozark (2017) - S03E02 Civil Union - Video clips by quotes - fb30fbb3 - 紗.wav,Fuck
1aeef15e_nohash_0,Dataset\mono_audio\Other\1aeef15e_nohash_0.wav,Other
YARN - Shit - Firefly Lane (2021) - S02E01 Wish You Were Here - Video clips by quotes - 2b4de906 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Firefly Lane (2021) - S02E01 Wish You Were Here - Video clips by quotes - 2b4de906 - 紗.wav,Shit
1a892463_nohash_1,Dataset\mono_audio\Other\1a892463_nohash_1.wav,Other
YARN - Shit - Crackerjack - Video clips by quotes - d3b4c8b0 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Crackerjack - Video clips by quotes - d3b4c8b0 - 紗.wav,Shit
0b77ee66_nohash_2,Dataset\mono_audio\Other\0b77ee66_nohash_2.wav,Other
YARN - Shit - The Recruit (2022) - S01E04 IYDIAAC - Video clips by quotes - 3e14117a - 紗,Dataset\mono_audio\Shit\YARN - Shit - The Recruit (2022) - S01E04 IYDIAAC - Video clips by quotes - 3e14117a - 紗.wav,Shit
YARN - Fuck - The Happytime Murders - Video clips by quotes - 4cc91a9b - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - The Happytime Murders - Video clips by quotes - 4cc91a9b - 紗.wav,Fuck
YARN - Fuck! - Pam & Tommy (2022) - S01E08 Seattle - Video clips by quotes - ad797fe6 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Pam & Tommy (2022) - S01E08 Seattle - Video clips by quotes - ad797fe6 - 紗.wav,Fuck
YARN - Shit! - Metro - Video clips by quotes - fc1a82dc - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Metro - Video clips by quotes - fc1a82dc - 紗.wav,Shit
0cd323ec_nohash_0,Dataset\mono_audio\Other\0cd323ec_nohash_0.wav,Other
YARN - Fuck! - The Recruit (2022) - S01E04 IYDIAAC - Video clips by quotes - 3c1127c5 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - The Recruit (2022) - S01E04 IYDIAAC - Video clips by quotes - 3c1127c5 - 紗.wav,Fuck
1f653d27_nohash_2,Dataset\mono_audio\Other\1f653d27_nohash_2.wav,Other
YARN - Fuck - Ozark (2017) - S04E06 Sangre Sobre Todo - Video clips by quotes - f665d2ab - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Ozark (2017) - S04E06 Sangre Sobre Todo - Video clips by quotes - f665d2ab - 紗.wav,Fuck
YARN - Fuck - Euphoria (2019) - S01E01 Pilot - Video clips by quotes - c10c4d3a - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Euphoria (2019) - S01E01 Pilot - Video clips by quotes - c10c4d3a - 紗.wav,Fuck
YARN - Shit! - Flight - Video clips by quotes - 60533ade - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Flight - Video clips by quotes - 60533ade - 紗.wav,Shit
YARN - Shit - Euphoria (2019) - S01E01 Pilot - Video clips by quotes - 14f6565d - 紗,Dataset\mono_audio\Shit\YARN - Shit - Euphoria (2019) - S01E01 Pilot - Video clips by quotes - 14f6565d - 紗.wav,Shit
YARN - Fuck! - The Recruit (2022) - S01E04 IYDIAAC - Video clips by quotes - 35cb1a08 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - The Recruit (2022) - S01E04 IYDIAAC - Video clips by quotes - 35cb1a08 - 紗.wav,Fuck
00b01445_nohash_0,Dataset\mono_audio\Other\00b01445_nohash_0.wav,Other
YARN - Fuck - Ozark (2017) - S04E10 You're the Boss - Video clips by quotes - d329360d - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Ozark (2017) - S04E10 You're the Boss - Video clips by quotes - d329360d - 紗.wav,Fuck
00f0204f_nohash_0,Dataset\mono_audio\Other\00f0204f_nohash_0.wav,Other
YARN - Fuck! - Ozark (2017) - S02E01 Reparations - Video clips by quotes - a044c548 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Ozark (2017) - S02E01 Reparations - Video clips by quotes - a044c548 - 紗.wav,Fuck
YARN - Fuck! - Dead To Me (2019) - S03E07 Can We Be Honest - Video clips by quotes - 5a84e133 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Dead To Me (2019) - S03E07 Can We Be Honest - Video clips by quotes - 5a84e133 - 紗.wav,Fuck
YARN - Shit - Black Adam - Video clips by quotes - 71676e8d - 紗,Dataset\mono_audio\Shit\YARN - Shit - Black Adam - Video clips by quotes - 71676e8d - 紗.wav,Shit
YARN - Shit - Warrior Nun (2020) - S01E07 Ephesians 4-22-24 - Video clips by quotes - 071131fe - 紗,Dataset\mono_audio\Shit\YARN - Shit - Warrior Nun (2020) - S01E07 Ephesians 4-22-24 - Video clips by quotes - 071131fe - 紗.wav,Shit
03cf93b1_nohash_0,Dataset\mono_audio\Other\03cf93b1_nohash_0.wav,Other
YARN - Shit - The 6th Day - Video clips by quotes - 810f98a1 - 紗,Dataset\mono_audio\Shit\YARN - Shit - The 6th Day - Video clips by quotes - 810f98a1 - 紗.wav,Shit
3ac2e76f_nohash_0,Dataset\mono_audio\Other\3ac2e76f_nohash_0.wav,Other
4fd4d073_nohash_1,Dataset\mono_audio\Other\4fd4d073_nohash_1.wav,Other
00f0204f_nohash_1,Dataset\mono_audio\Other\00f0204f_nohash_1.wav,Other
YARN - Shit - Manny & Lo - Video clips by quotes - d139ddd9 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Manny & Lo - Video clips by quotes - d139ddd9 - 紗.wav,Shit
01bb6a2a_nohash_0,Dataset\mono_audio\Other\01bb6a2a_nohash_0.wav,Other
YARN - Shit - Foundation (2021) - S01E01 The Emperor's Peace - Video clips by quotes - 0a77d119 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Foundation (2021) - S01E01 The Emperor's Peace - Video clips by quotes - 0a77d119 - 紗.wav,Shit
0e5193e6_nohash_0,Dataset\mono_audio\Other\0e5193e6_nohash_0.wav,Other
YARN - Fuck - Warrior Nun (2020) - S01E09 2 Corinthians 10-4 - Video clips by quotes - 41ac2a72 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Warrior Nun (2020) - S01E09 2 Corinthians 10-4 - Video clips by quotes - 41ac2a72 - 紗.wav,Fuck
YARN - Shit! - Ozark (2017) - S02E04 Stag - Video clips by quotes - db45d1ec - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Ozark (2017) - S02E04 Stag - Video clips by quotes - db45d1ec - 紗.wav,Shit
YARN - Shit - The Sopranos (1999) - S04E04 Drama - Video clips by quotes - 021fa552 - 紗,Dataset\mono_audio\Shit\YARN - Shit - The Sopranos (1999) - S04E04 Drama - Video clips by quotes - 021fa552 - 紗.wav,Shit
YARN - Fuck! - Big Mouth (2017) - S03E02 Girls Are Angry Too - Video clips by quotes - 1df7c05c - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Big Mouth (2017) - S03E02 Girls Are Angry Too - Video clips by quotes - 1df7c05c - 紗.wav,Fuck
YARN - Shit - SpaceCamp - Video clips by quotes - 535eed02 - 紗,Dataset\mono_audio\Shit\YARN - Shit - SpaceCamp - Video clips by quotes - 535eed02 - 紗.wav,Shit
YARN - Fuck - Ozark (2017) - S03E08 BFF - Video clips by quotes - fc9386f8 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Ozark (2017) - S03E08 BFF - Video clips by quotes - fc9386f8 - 紗.wav,Fuck
YARN - Shit - The Sopranos (1999) - S05E06 Drama - Video clips by quotes - 27eebc87 - 紗,Dataset\mono_audio\Shit\YARN - Shit - The Sopranos (1999) - S05E06 Drama - Video clips by quotes - 27eebc87 - 紗.wav,Shit
YARN - Fuck! - Pam & Tommy (2022) - S01E04 The Master Beta - Video clips by quotes - dc01857c - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Pam & Tommy (2022) - S01E04 The Master Beta - Video clips by quotes - dc01857c - 紗.wav,Fuck
2bdbe5f7_nohash_2,Dataset\mono_audio\Other\2bdbe5f7_nohash_2.wav,Other
YARN - Shit - Jack Ryan (2017) - S02E02 Tertia Optio - Video clips by quotes - cc9848f5 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Jack Ryan (2017) - S02E02 Tertia Optio - Video clips by quotes - cc9848f5 - 紗.wav,Shit
YARN - Shit! - Squid Game (2021) - S01E03 The Man with the Umbrella - Video clips by quotes - 8c611e22 - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Squid Game (2021) - S01E03 The Man with the Umbrella - Video clips by quotes - 8c611e22 - 紗.wav,Shit
3c257192_nohash_2,Dataset\mono_audio\Other\3c257192_nohash_2.wav,Other
YARN - Shit - Ozark (2017) - S03E02 Civil Union - Video clips by quotes - 70313f4b - 紗,Dataset\mono_audio\Shit\YARN - Shit - Ozark (2017) - S03E02 Civil Union - Video clips by quotes - 70313f4b - 紗.wav,Shit
YARN - Shit! - All Quiet on the Western Front - Video clips by quotes - ea4d6828 - 紗,Dataset\mono_audio\Shit\YARN - Shit! - All Quiet on the Western Front - Video clips by quotes - ea4d6828 - 紗.wav,Shit
4d9e07cf_nohash_1,Dataset\mono_audio\Other\4d9e07cf_nohash_1.wav,Other
YARN - Shit! - Friday the 13th Part III - Video clips by quotes - fd475d88 - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Friday the 13th Part III - Video clips by quotes - fd475d88 - 紗.wav,Shit
1 Born On The Fourth Of July,Dataset\mono_audio\Fuck\1 Born On The Fourth Of July.wav,Fuck
YARN - Shit - Morbius - Video clips by quotes - 1b7e372f - 紗,Dataset\mono_audio\Shit\YARN - Shit - Morbius - Video clips by quotes - 1b7e372f - 紗.wav,Shit
YARN - Fuck! - Prisoners - Video clips by quotes - c97b8131 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Prisoners - Video clips by quotes - c97b8131 - 紗.wav,Fuck
YARN - Shit - Inside Job (2021) - S02E01 How Reagan Got Her Grove Back - Video clips by quotes - 3316162b - 紗,Dataset\mono_audio\Shit\YARN - Shit - Inside Job (2021) - S02E01 How Reagan Got Her Grove Back - Video clips by quotes - 3316162b - 紗.wav,Shit
0d2bcf9d_nohash_1,Dataset\mono_audio\Other\0d2bcf9d_nohash_1.wav,Other
0f3f64d5_nohash_0,Dataset\mono_audio\Other\0f3f64d5_nohash_0.wav,Other
YARN - Fuck! - Ozark (2017) - S04E04 Ace Deuce - Video clips by quotes - d5f9df3b - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Ozark (2017) - S04E04 Ace Deuce - Video clips by quotes - d5f9df3b - 紗.wav,Fuck
1c1060b1_nohash_2,Dataset\mono_audio\Other\1c1060b1_nohash_2.wav,Other
02e85b60_nohash_0,Dataset\mono_audio\Other\02e85b60_nohash_0.wav,Other
8dd788d8_nohash_1,Dataset\mono_audio\Other\8dd788d8_nohash_1.wav,Other
YARN - Fuck - Ozark (2017) - S04E06 Sangre Sobre Todo - Video clips by quotes - ba6bf866 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Ozark (2017) - S04E06 Sangre Sobre Todo - Video clips by quotes - ba6bf866 - 紗.wav,Fuck
YARN - Fuck - Dude - Video clips by quotes - d6fb46ef - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Dude - Video clips by quotes - d6fb46ef - 紗.wav,Fuck
1a4259c3_nohash_1,Dataset\mono_audio\Other\1a4259c3_nohash_1.wav,Other
471a0925_nohash_1,Dataset\mono_audio\Other\471a0925_nohash_1.wav,Other
1dce06e8_nohash_1,Dataset\mono_audio\Other\1dce06e8_nohash_1.wav,Other
YARN - Shit - Pam & Tommy (2022) - S01E04 The Master Beta - Video clips by quotes - 6a2298a7 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Pam & Tommy (2022) - S01E04 The Master Beta - Video clips by quotes - 6a2298a7 - 紗.wav,Shit
YARN - Fuck! - Apt Pupil - Video clips by quotes - dd765a48 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Apt Pupil - Video clips by quotes - dd765a48 - 紗.wav,Fuck
YARN - Shit - The 6th Day - Video clips by quotes - 67214ccb - 紗,Dataset\mono_audio\Shit\YARN - Shit - The 6th Day - Video clips by quotes - 67214ccb - 紗.wav,Shit
YARN - Shit - Big Mouth (2017) - S02E08 Dark Side of the Boob - Video clips by quotes - 6250942f - 紗,Dataset\mono_audio\Shit\YARN - Shit - Big Mouth (2017) - S02E08 Dark Side of the Boob - Video clips by quotes - 6250942f - 紗.wav,Shit
YARN - Fuck! - Domino - Video clips by quotes - 76e722ce - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Domino - Video clips by quotes - 76e722ce - 紗.wav,Fuck
4f086393_nohash_1,Dataset\mono_audio\Other\4f086393_nohash_1.wav,Other
YARN - Fuck - Prisoners - Video clips by quotes - b6d061bd - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Prisoners - Video clips by quotes - b6d061bd - 紗.wav,Fuck
YARN - Shit - Jack Ryan (2017) - S02E07 Dios y Federación - Video clips by quotes - 3e451fca - 紗,Dataset\mono_audio\Shit\YARN - Shit - Jack Ryan (2017) - S02E07 Dios y Federación - Video clips by quotes - 3e451fca - 紗.wav,Shit
YARN - Shit - Jack Ryan (2017) - S02E03 Orinoco - Video clips by quotes - 3e1e7870 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Jack Ryan (2017) - S02E03 Orinoco - Video clips by quotes - 3e1e7870 - 紗.wav,Shit
YARN - Shit - Prisoners - Video clips by quotes - 140b792c - 紗,Dataset\mono_audio\Shit\YARN - Shit - Prisoners - Video clips by quotes - 140b792c - 紗.wav,Shit
1d919a90_nohash_1,Dataset\mono_audio\Other\1d919a90_nohash_1.wav,Other
YARN - Shit - The 6th Day - Video clips by quotes - 611ad290 - 紗,Dataset\mono_audio\Shit\YARN - Shit - The 6th Day - Video clips by quotes - 611ad290 - 紗.wav,Shit
YARN - Fuck - Ozark (2017) - S03E10 All In - Video clips by quotes - e809f3d7 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Ozark (2017) - S03E10 All In - Video clips by quotes - e809f3d7 - 紗.wav,Fuck
1b4c9b89_nohash_3,Dataset\mono_audio\Other\1b4c9b89_nohash_3.wav,Other
0b56bcfe_nohash_0,Dataset\mono_audio\Other\0b56bcfe_nohash_0.wav,Other
YARN - Fuck! - Poker Face - Video clips by quotes - a76a2935 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck! - Poker Face - Video clips by quotes - a76a2935 - 紗.wav,Fuck
YARN - Fuck - Ozark (2017) - S04E01 The Beginning of the End - Video clips by quotes - 73c79c90 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Ozark (2017) - S04E01 The Beginning of the End - Video clips by quotes - 73c79c90 - 紗.wav,Fuck
YARN - Fuck - Euphoria (2019) - S01E01 Pilot - Video clips by quotes - b1093e70 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Euphoria (2019) - S01E01 Pilot - Video clips by quotes - b1093e70 - 紗.wav,Fuck
YARN - Fuck - Ozark (2017) - S03E07 In Case of Emergency - Video clips by quotes - 00a534f9 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Ozark (2017) - S03E07 In Case of Emergency - Video clips by quotes - 00a534f9 - 紗.wav,Fuck
YARN - fuck… - Firefly Lane (2021) - S02E03 I'm Coming Out - Video clips by quotes - d8b2533b - 紗,Dataset\mono_audio\Fuck\YARN - fuck… - Firefly Lane (2021) - S02E03 I'm Coming Out - Video clips by quotes - d8b2533b - 紗.wav,Fuck
4def68db_nohash_0,Dataset\mono_audio\Other\4def68db_nohash_0.wav,Other
YARN - Shit - The Recruit (2022) - S01E04 IYDIAAC - Video clips by quotes - c401c82e - 紗,Dataset\mono_audio\Shit\YARN - Shit - The Recruit (2022) - S01E04 IYDIAAC - Video clips by quotes - c401c82e - 紗.wav,Shit
0ac15fe9_nohash_1,Dataset\mono_audio\Other\0ac15fe9_nohash_1.wav,Other
0c5027de_nohash_1,Dataset\mono_audio\Other\0c5027de_nohash_1.wav,Other
0ff728b5_nohash_2,Dataset\mono_audio\Other\0ff728b5_nohash_2.wav,Other
0ff728b5_nohash_1,Dataset\mono_audio\Other\0ff728b5_nohash_1.wav,Other
8dd788d8_nohash_0,Dataset\mono_audio\Other\8dd788d8_nohash_0.wav,Other
0a7c2a8d_nohash_0,Dataset\mono_audio\Other\0a7c2a8d_nohash_0.wav,Other
YARN - Shit - The Boys (2019) - S01E04 The Female of the Species - Video clips by quotes - e720d482 - 紗,Dataset\mono_audio\Shit\YARN - Shit - The Boys (2019) - S01E04 The Female of the Species - Video clips by quotes - e720d482 - 紗.wav,Shit
YARN - Fuck - Euphoria (2019) - S01E02 Stuntin' Like My Daddy - Video clips by quotes - 2f2c5eb7 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Euphoria (2019) - S01E02 Stuntin' Like My Daddy - Video clips by quotes - 2f2c5eb7 - 紗.wav,Fuck
YARN - Shit - The Recruit (2022) - S01E02 NLTSYP - Video clips by quotes - 0cf12ea5 - 紗,Dataset\mono_audio\Shit\YARN - Shit - The Recruit (2022) - S01E02 NLTSYP - Video clips by quotes - 0cf12ea5 - 紗.wav,Shit
01d22d03_nohash_0,Dataset\mono_audio\Other\01d22d03_nohash_0.wav,Other
YARN - Shit! - Poker Face - Video clips by quotes - da317c7f - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Poker Face - Video clips by quotes - da317c7f - 紗.wav,Shit
YARN - Shit - Jack Ryan (2017) - S02E07 Dios y Federación - Video clips by quotes - 8f694f35 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Jack Ryan (2017) - S02E07 Dios y Federación - Video clips by quotes - 8f694f35 - 紗.wav,Shit
YARN - Fuck - 1899 (2022) - S01E08 The Key - Video clips by quotes - 91997a88 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - 1899 (2022) - S01E08 The Key - Video clips by quotes - 91997a88 - 紗.wav,Fuck
YARN - Fuck - 1899 (2022) - S01E05 The Calling - Video clips by quotes - 8f9eaaf1 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - 1899 (2022) - S01E05 The Calling - Video clips by quotes - 8f9eaaf1 - 紗.wav,Fuck
YARN - Fuck - I Care a Lot - Video clips by quotes - 8a61c825 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - I Care a Lot - Video clips by quotes - 8a61c825 - 紗.wav,Fuck
YARN - Fuck - Dude - Video clips by quotes - b89bf308 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Dude - Video clips by quotes - b89bf308 - 紗.wav,Fuck
YARN - Shit - Emily the Criminal - Video clips by quotes - 538a57a8 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Emily the Criminal - Video clips by quotes - 538a57a8 - 紗.wav,Shit
